user_id	user_first_touch_timestamp	email
UA000000102357305	1592182691348767	""
UA000000102357308	1592183287634953	""
UA000000102357309	1592183302736627	""
UA000000102357321	1592184604178702	david23@orozco-parker.com
UA000000102357325	1592185154063628	""
UA000000102357335	1592186122660210	""
UA000000102357338	1592186300091435	""
UA000000102357348	1592187663145345	phillipmorgan@hotmail.com
UA000000102357350	1592187732257656	""
UA000000102357356	1592188311375015	""
UA000000102357359	1592188493100226	""
UA000000102357380	1592189552147084	""
UA000000102357383	1592189619333524	charlesbuck@long.com
UA000000102357393	1592190069262456	""
UA000000102357394	1592190115820569	""
UA000000102357395	1592190121523305	jeremyfarrell@hart.net
UA000000102357397	1592190176360255	""
UA000000102357399	1592190267930951	""
UA000000102357405	1592190369801282	""
UA000000102357407	1592190388382310	""
UA000000102357411	1592190541298188	""
UA000000102357414	1592190713937803	""
UA000000102357419	1592190787688448	""
UA000000102357443	1592191415122737	""
UA000000102357457	1592191686906534	""
UA000000102357458	1592191697978419	pruittfrances@hotmail.com
UA000000102357462	1592191898176879	""
UA000000102357488	1592192454220227	""
UA000000102357489	1592192459520769	""
UA000000102357495	1592192564413095	""
UA000000102357497	1592192612427696	""
UA000000102357499	1592192681470593	""
UA000000102357507	1592192850273065	uramirez78@gmail.com
UA000000102357526	1592193160593135	""
UA000000102357539	1592193490048752	""
UA000000102357555	1592193675842087	""
UA000000102357569	1592193952102101	""
UA000000102357573	1592194024071715	""
UA000000102357584	1592194173788911	macdonaldtyler@yahoo.com
UA000000102357587	1592194214393187	""
UA000000102357601	1592194366403589	""
UA000000102357605	1592194492408005	""
UA000000102357608	1592194522546719	""
UA000000102357609	1592194561791085	""
UA000000102357616	1592194615965849	""
UA000000102357621	1592194717706454	theresawatson@hotmail.com
UA000000102357623	1592194727455079	""
UA000000102357626	1592194772447739	bergjesse@yahoo.com
UA000000102357629	1592194842258268	""
UA000000102357658	1592195274985273	mitchellpowers@hotmail.com
UA000000102357671	1592195479078862	""
UA000000102357672	1592195514566890	""
UA000000102357678	1592195595064595	""
UA000000102357686	1592195740093116	gpeters@hotmail.com
UA000000102357687	1592195750401013	""
UA000000102357689	1592195773429709	""
UA000000102357690	1592195783752468	""
UA000000102357699	1592195891813218	""
UA000000102357713	1592196031006819	""
UA000000102357731	1592196161208447	""
UA000000102357732	1592196171568039	""
UA000000102357736	1592196188271676	""
UA000000102357738	1592196208377775	""
UA000000102357739	1592196215915206	""
UA000000102357741	1592196245004979	""
UA000000102357751	1592196367738093	""
UA000000102357766	1592196542754197	ynelson@hotmail.com
UA000000102357767	1592196556521601	""
UA000000102357776	1592196622138468	""
UA000000102357790	1592196789665634	zavalamario@yahoo.com
UA000000102357804	1592196938047177	""
UA000000102357813	1592196983479160	""
UA000000102357814	1592196996413759	""
UA000000102357819	1592197076237621	""
UA000000102357821	1592197101827629	kriley@smith-harris.biz
UA000000102357834	1592197185469855	""
UA000000102357835	1592197197638601	ljohnston@gmail.com
UA000000102357841	1592197275580686	laurenluna@gmail.com
UA000000102357844	1592197278540533	""
UA000000102357849	1592197313478129	""
UA000000102357851	1592197323314557	""
UA000000102357853	1592197344591701	""
UA000000102357862	1592197421914279	""
UA000000102357866	1592197447373614	""
UA000000102357867	1592197447429934	""
UA000000102357870	1592197475122879	rojasjorge@yahoo.com
UA000000102357886	1592197598753649	""
UA000000102357906	1592197784370393	pauljeff@griffin.com
